url,scrape_date,Team,Name,Overall Rating,Nationality,Archetype,Position,Weight (kg),Jersey,Years in NBA,Prior to NBA,Close Shot,Mid-Range Shot,Three-Point Shot,Free Throw,Shot IQ,Offensive Consistency,Speed,Acceleration,Strength,Vertical,Stamina,Hustle,Overall Durability,Layup,Standing Dunk,Driving Dunk,Post Hook,Post Fade,Post Control,Draw Foul,Hands,Pass Accuracy,Ball Handle,Speed with Ball,Pass IQ,Pass Vision,Interior Defense,Perimeter Defense,Steal,Block,Lateral Quickness,Help Defense IQ,Pass Perception,Defensive Consistency,Offensive Rebound,Defensive Rebound,Badges,Height (cm),Height (in)
https://www.2kratings.com/trae-young,2023-02-17,Atlanta Hawks,Trae Young,89,['United States'],Versatile Offensive Force,['PG'],81,11,5,Oklahoma,93,86,84,89,90,98,84,84,50,78,95,75,86,90,25,30,28,60,34,96,80,80,93,84,94,89,31,55,37,35,70,58,70,30,36,41,"{'Agent 3': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Ability to hit difficult 3PT shots off the dribble', 'Badge Level': 'Gold'}, 'Amped': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Reduces the shooting attribute penalties when fatigued and when moving excessively prior to shooting', 'Badge Level': 'Gold'}, 'Ankle Breaker': {'Badge Category': 'Playmaking Badge', 'Badge Description': 'Improves the likelihood of freezing or dropping a defender during dribble moves', 'Badge Level': 'Gold'}, 'Bail Out': {'Badge Category': 'Playmaking Badge', 'Badge Description': 'Increases the chances of successfully completing a pass from mid-air', 'Badge Level': 'Gold'}, 'Clutch Shooter': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Increases the ability to knock down shots in clutch moments', 'Badge Level': 'Gold'}, 'Comeback Kid': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Improved ability to shoot perimeter jumpers when trailing in a game', 'Badge Level': 'Gold'}, 'Deadeye': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Reduces the impact of a defender who is closing out', 'Badge Level': 'Gold'}, 'Dimer': {'Badge Category': 'Playmaking Badge', 'Badge Description': 'Boosts the shot percentage for open teammates on jump shots after catching a pass', 'Badge Level': 'Gold'}, 'Floor General': {'Badge Category': 'Playmaking Badge', 'Badge Description': 'Teammates receive an offensive attribute bonus when player is in the game', 'Badge Level': 'Gold'}, 'Guard Up': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Increases the ability to make jump shots when defenders fail to properly contest', 'Badge Level': 'Gold'}, 'Handles For Days': {'Badge Category': 'Playmaking Badge', 'Badge Description': 'Reduces the amount of energy lost when performing dribble moves', 'Badge Level': 'Gold'}, 'Killer Combos': {'Badge Category': 'Playmaking Badge', 'Badge Description': 'Improves a dribbler’s effectiveness with size-up dribble moves', 'Badge Level': 'Gold'}, 'Limitless Range': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Boosts the range that one can effectively shoot standing three point shots', 'Badge Level': 'Gold'}, 'Middy Magician': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Improved ability to knock down mid-range jumpers off the bounce or out of the post', 'Badge Level': 'Gold'}, 'Mismatch Expert': {'Badge Category': 'Playmaking Badge', 'Badge Description': 'Helps smaller guards break down taller defenders when mismatched 1-on-1', 'Badge Level': 'Gold'}, 'Needle Threader': {'Badge Category': 'Playmaking Badge', 'Badge Description': 'Increases the likelihood that tough passes can get by the defense', 'Badge Level': 'Gold'}, 'Slithery': {'Badge Category': 'Finishing Badge', 'Badge Description': 'Makes it easier to gather through traffic, avoiding collisions and strips', 'Badge Level': 'Gold'}, 'Special Delivery': {'Badge Category': 'Playmaking Badge', 'Badge Description': 'Gives boost to passer and receiver’s takeover meter following a flashy pass if the shot goes in', 'Badge Level': 'Gold'}, 'Volume Shooter': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Boosts shot percentages as shot attempts accrue throughout the game', 'Badge Level': 'Gold'}, 'Acrobat': {'Badge Category': 'Finishing Badge', 'Badge Description': 'Boosts the ability to hit high degree of difficulty layups', 'Badge Level': 'Silver'}, 'Blinders': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Becomes unfazed by defenders from the side', 'Badge Level': 'Silver'}, 'Break Starter': {'Badge Category': 'Playmaking Badge', 'Badge Description': ""Improves a player's ability to make effective outlet passes after grabbing a rebound"", 'Badge Level': 'Silver'}, 'Catch and Shoot': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Boosts the chance of hitting a jump shot immediately after a catch', 'Badge Level': 'Silver'}, 'Clamp Breaker': {'Badge Category': 'Playmaking Badge', 'Badge Description': 'Helps ball handlers win more 1-on-1 body bump confrontations', 'Badge Level': 'Silver'}, 'Fearless Finisher': {'Badge Category': 'Finishing Badge', 'Badge Description': 'Improves the ability to convert contact layups', 'Badge Level': 'Silver'}, 'Giant Slayer': {'Badge Category': 'Finishing Badge', 'Badge Description': 'Heightens the effectiveness of layups over taller defenders', 'Badge Level': 'Silver'}, 'Green Machine': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Increases the bonus given for consecutive excellent releases', 'Badge Level': 'Silver'}, 'Hyperdrive': {'Badge Category': 'Playmaking Badge', 'Badge Description': 'Increases the dribbling skills while on the move', 'Badge Level': 'Silver'}, 'Pro Touch': {'Badge Category': 'Finishing Badge', 'Badge Description': 'Gives an additional boost for having good layup timing', 'Badge Level': 'Silver'}, 'Quick First Step': {'Badge Category': 'Playmaking Badge', 'Badge Description': 'Provides more explosive first steps out of tripple threat and size-ups', 'Badge Level': 'Silver'}, 'Space Creator': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Ability to hit stepback jumpers and hop shots, and also will cause defenders to stumble more often', 'Badge Level': 'Silver'}, 'Corner Specialist': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Gives a boost to shots taken near the corner', 'Badge Level': 'Bronze'}, 'Fast Twitch': {'Badge Category': 'Finishing Badge', 'Badge Description': 'Speeds up standing layups or dunks around the rim', 'Badge Level': 'Bronze'}, 'Slippery Off Ball': {'Badge Category': 'Shooting Badge', 'Badge Description': ""Strengthens the player's ability to get the open off the ball"", 'Badge Level': 'Bronze'}, 'Unpluckable': {'Badge Category': 'Playmaking Badge', 'Badge Description': 'Reduces the chances of getting stripped by the defender', 'Badge Level': 'Bronze'}}",185,"6'1"""
https://www.2kratings.com/dejounte-murray,2023-02-17,Atlanta Hawks,Dejounte Murray,85,['United States'],2-Way Playshot,['PG'],81,5,7,Washington,85,86,79,84,95,95,83,83,40,60,90,90,80,93,40,75,40,48,49,84,95,85,88,83,84,72,53,86,80,47,87,85,89,85,35,62,"{'Ankle Braces': {'Badge Category': 'DEF/REB Badge', 'Badge Description': 'Reduces the chances of getting crossed over', 'Badge Level': 'Silver'}, 'Fast Twitch': {'Badge Category': 'Finishing Badge', 'Badge Description': 'Speeds up standing layups or dunks around the rim', 'Badge Level': 'Silver'}, 'Fearless Finisher': {'Badge Category': 'Finishing Badge', 'Badge Description': 'Improves the ability to convert contact layups', 'Badge Level': 'Silver'}, 'Giant Slayer': {'Badge Category': 'Finishing Badge', 'Badge Description': 'Heightens the effectiveness of layups over taller defenders', 'Badge Level': 'Silver'}, 'Glove': {'Badge Category': 'DEF/REB Badge', 'Badge Description': 'Helps you strip players as they gather for shots and poke the ball free from ball handlers', 'Badge Level': 'Silver'}, 'Hyperdrive': {'Badge Category': 'Playmaking Badge', 'Badge Description': 'Increases the dribbling skills while on the move', 'Badge Level': 'Silver'}, 'Middy Magician': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Improved ability to knock down mid-range jumpers off the bounce or out of the post', 'Badge Level': 'Silver'}, 'Needle Threader': {'Badge Category': 'Playmaking Badge', 'Badge Description': 'Increases the likelihood that tough passes can get by the defense', 'Badge Level': 'Silver'}, 'Pro Touch': {'Badge Category': 'Finishing Badge', 'Badge Description': 'Gives an additional boost for having good layup timing', 'Badge Level': 'Silver'}, 'Quick First Step': {'Badge Category': 'Playmaking Badge', 'Badge Description': 'Provides more explosive first steps out of tripple threat and size-ups', 'Badge Level': 'Silver'}, 'Slithery': {'Badge Category': 'Finishing Badge', 'Badge Description': 'Makes it easier to gather through traffic, avoiding collisions and strips', 'Badge Level': 'Silver'}, 'Acrobat': {'Badge Category': 'Finishing Badge', 'Badge Description': 'Boosts the ability to hit high degree of difficulty layups', 'Badge Level': 'Bronze'}, 'Bail Out': {'Badge Category': 'Playmaking Badge', 'Badge Description': 'Increases the chances of successfully completing a pass from mid-air', 'Badge Level': 'Bronze'}, 'Challenger': {'Badge Category': 'DEF/REB Badge', 'Badge Description': 'Improves the effectiveness of perimeter shot contests', 'Badge Level': 'Bronze'}, 'Clamp Breaker': {'Badge Category': 'Playmaking Badge', 'Badge Description': 'Helps ball handlers win more 1-on-1 body bump confrontations', 'Badge Level': 'Bronze'}, 'Floor General': {'Badge Category': 'Playmaking Badge', 'Badge Description': 'Teammates receive an offensive attribute bonus when player is in the game', 'Badge Level': 'Bronze'}, 'Interceptor': {'Badge Category': 'DEF/REB Badge', 'Badge Description': 'Increases chances at getting steals in passing lanes', 'Badge Level': 'Bronze'}, 'Killer Combos': {'Badge Category': 'Playmaking Badge', 'Badge Description': 'Improves a dribbler’s effectiveness with size-up dribble moves', 'Badge Level': 'Bronze'}, 'Menace': {'Badge Category': 'DEF/REB Badge', 'Badge Description': 'A player known for harassing their matchup while on defense', 'Badge Level': 'Bronze'}, 'Mismatch Expert': {'Badge Category': 'Playmaking Badge', 'Badge Description': 'Helps smaller guards break down taller defenders when mismatched 1-on-1', 'Badge Level': 'Bronze'}, 'Pick Dodger': {'Badge Category': 'DEF/REB Badge', 'Badge Description': ""Improves a player's ability to navigate through screens effectively on defense"", 'Badge Level': 'Bronze'}, 'Space Creator': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Ability to hit stepback jumpers and hop shots, and also will cause defenders to stumble more often', 'Badge Level': 'Bronze'}, 'Unpluckable': {'Badge Category': 'Playmaking Badge', 'Badge Description': 'Reduces the chances of getting stripped by the defender', 'Badge Level': 'Bronze'}}",193,"6'4"""
https://www.2kratings.com/clint-capela,2023-02-17,Atlanta Hawks,Clint Capela,83,['Switzerland'],Paint Beast,['C'],115,15,9,Switzerland,80,50,25,58,70,60,58,57,85,80,92,97,83,79,95,80,71,48,69,74,70,34,48,30,35,28,86,53,38,80,60,86,74,85,93,92,"{'Post Move Lockdown': {'Badge Category': 'DEF/REB Badge', 'Badge Description': ""Improves the defender's ability to defend post moves"", 'Badge Level': 'Gold'}, 'Rebound Chaser': {'Badge Category': 'DEF/REB Badge', 'Badge Description': ""Improves a player's ability to chase down rebounds"", 'Badge Level': 'Gold'}, 'Anchor': {'Badge Category': 'DEF/REB Badge', 'Badge Description': 'A crucial badge for last line of defense bigs, improves ability to block and contest shots in the paint', 'Badge Level': 'Silver'}, 'Boxout Beast': {'Badge Category': 'DEF/REB Badge', 'Badge Description': 'Helps rebounders win boxout battles on both offensive and defensive rebounding situations', 'Badge Level': 'Silver'}, 'Brick Wall': {'Badge Category': 'DEF/REB Badge', 'Badge Description': 'Increases effectiveness of screens and drains energy from opponents on physical contact', 'Badge Level': 'Silver'}, 'Chase Down Artist': {'Badge Category': 'DEF/REB Badge', 'Badge Description': 'Raises the chances of getting a chase-down block', 'Badge Level': 'Silver'}, 'Pogo Stick': {'Badge Category': 'DEF/REB Badge', 'Badge Description': 'Improves the ability to attempt multiple blocks in succession', 'Badge Level': 'Silver'}, 'Rise Up': {'Badge Category': 'Finishing Badge', 'Badge Description': 'Makes it easier to dunk when under the basket', 'Badge Level': 'Silver'}, 'Work Horse': {'Badge Category': 'DEF/REB Badge', 'Badge Description': 'Boosts your ability to hustle down 50/50 balls and play hard-nosed defense without getting tired', 'Badge Level': 'Silver'}, 'Aerial Wizard': {'Badge Category': 'Finishing Badge', 'Badge Description': 'Ability to successfully complete alley–oops and putbacks', 'Badge Level': 'Bronze'}, 'Backdown Punisher': {'Badge Category': 'Finishing Badge', 'Badge Description': 'Increases the chances of a player successfully backing down an opponent', 'Badge Level': 'Bronze'}, 'Masher': {'Badge Category': 'Finishing Badge', 'Badge Description': 'Increases ability to finish inside layups over defenders', 'Badge Level': 'Bronze'}, 'Vice Grip': {'Badge Category': 'Playmaking Badge', 'Badge Description': 'Improves ball security immediately after securing a rebound, catch, or picking up the ball', 'Badge Level': 'Bronze'}}",208,"6'10"""
https://www.2kratings.com/john-collins,2023-02-17,Atlanta Hawks,John Collins,82,['United States'],Inside the Arc Scorer,"['PF', 'C']",102,20,6,Wake Forest,91,88,72,85,70,75,71,65,75,85,92,85,84,82,90,93,77,75,83,52,85,37,60,50,66,31,74,49,40,76,57,74,38,60,45,85,"{'Aerial Wizard': {'Badge Category': 'Finishing Badge', 'Badge Description': 'Ability to successfully complete alley–oops and putbacks', 'Badge Level': 'Gold'}, 'Limitless Takeoff': {'Badge Category': 'Finishing Badge', 'Badge Description': 'Favors dunks and layups from a farther take-off range', 'Badge Level': 'Gold'}, 'Rise Up': {'Badge Category': 'Finishing Badge', 'Badge Description': 'Makes it easier to dunk when under the basket', 'Badge Level': 'Gold'}, 'Fast Twitch': {'Badge Category': 'Finishing Badge', 'Badge Description': 'Speeds up standing layups or dunks around the rim', 'Badge Level': 'Silver'}, 'Posterizer': {'Badge Category': 'Finishing Badge', 'Badge Description': 'Improves the likelihood of posterizing your opponent', 'Badge Level': 'Silver'}, 'Rebound Chaser': {'Badge Category': 'DEF/REB Badge', 'Badge Description': ""Improves a player's ability to chase down rebounds"", 'Badge Level': 'Silver'}, 'Fearless Finisher': {'Badge Category': 'Finishing Badge', 'Badge Description': 'Improves the ability to convert contact layups', 'Badge Level': 'Bronze'}, 'Pogo Stick': {'Badge Category': 'DEF/REB Badge', 'Badge Description': 'Improves the ability to attempt multiple blocks in succession', 'Badge Level': 'Bronze'}, 'Post Spin Technician': {'Badge Category': 'Finishing Badge', 'Badge Description': 'Improves the ability of a post spin or drive to work effectively', 'Badge Level': 'Bronze'}}",206,"6'9"""
https://www.2kratings.com/onyeka-okongwu,2023-02-17,Atlanta Hawks,Onyeka Okongwu,80,['United States'],2-Way Inside-the-Arc Scorer,"['C', 'PF']",108,17,3,USC Trojans,90,90,60,73,70,60,74,74,70,75,88,85,83,80,85,80,54,55,57,52,80,51,54,60,50,30,79,64,40,80,69,83,65,65,81,78,"{'Aerial Wizard': {'Badge Category': 'Finishing Badge', 'Badge Description': 'Ability to successfully complete alley–oops and putbacks', 'Badge Level': 'Silver'}, 'Chase Down Artist': {'Badge Category': 'DEF/REB Badge', 'Badge Description': 'Raises the chances of getting a chase-down block', 'Badge Level': 'Bronze'}, 'Masher': {'Badge Category': 'Finishing Badge', 'Badge Description': 'Increases ability to finish inside layups over defenders', 'Badge Level': 'Bronze'}, 'Pogo Stick': {'Badge Category': 'DEF/REB Badge', 'Badge Description': 'Improves the ability to attempt multiple blocks in succession', 'Badge Level': 'Bronze'}, 'Rebound Chaser': {'Badge Category': 'DEF/REB Badge', 'Badge Description': ""Improves a player's ability to chase down rebounds"", 'Badge Level': 'Bronze'}, 'Rise Up': {'Badge Category': 'Finishing Badge', 'Badge Description': 'Makes it easier to dunk when under the basket', 'Badge Level': 'Bronze'}, 'Work Horse': {'Badge Category': 'DEF/REB Badge', 'Badge Description': 'Boosts your ability to hustle down 50/50 balls and play hard-nosed defense without getting tired', 'Badge Level': 'Bronze'}}",203,"6'8"""
https://www.2kratings.com/deandre-hunter,2023-02-17,Atlanta Hawks,De’Andre Hunter,80,['United States'],2-Way Sharpshooter,"['SF', 'PF']",99,12,4,Virginia,89,87,82,81,70,85,76,78,65,75,90,80,80,74,65,70,51,52,51,65,90,67,70,69,64,31,63,83,32,45,85,80,60,80,35,55,"{'Clamps': {'Badge Category': 'DEF/REB Badge', 'Badge Description': 'Boosts the ability to stay in front of the ball handler on the perimeter', 'Badge Level': 'Silver'}, 'Off Ball Pest': {'Badge Category': 'DEF/REB Badge', 'Badge Description': ""Improves a player's ability to bump and harass the offense off the ball"", 'Badge Level': 'Silver'}, 'Ankle Braces': {'Badge Category': 'DEF/REB Badge', 'Badge Description': 'Reduces the chances of getting crossed over', 'Badge Level': 'Bronze'}, 'Catch and Shoot': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Boosts the chance of hitting a jump shot immediately after a catch', 'Badge Level': 'Bronze'}, 'Challenger': {'Badge Category': 'DEF/REB Badge', 'Badge Description': 'Improves the effectiveness of perimeter shot contests', 'Badge Level': 'Bronze'}, 'Menace': {'Badge Category': 'DEF/REB Badge', 'Badge Description': 'A player known for harassing their matchup while on defense', 'Badge Level': 'Bronze'}, 'Pick Dodger': {'Badge Category': 'DEF/REB Badge', 'Badge Description': ""Improves a player's ability to navigate through screens effectively on defense"", 'Badge Level': 'Bronze'}}",203,"6'8"""
https://www.2kratings.com/saddiq-bey,2023-02-17,Atlanta Hawks,Saddiq Bey,79,['United States'],Inside-Out Scorer,"['SF', 'PF']",97,41,3,Villanova,79,65,79,88,90,85,63,63,69,70,87,90,81,80,45,60,43,42,52,84,84,64,76,57,75,35,64,75,43,37,79,77,72,70,42,58,"{'Claymore': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Increases a spot up shooter’s ability to knock down catch and shoot jumpers the longer they remain stationary prior to shooting', 'Badge Level': 'Silver'}, 'Vice Grip': {'Badge Category': 'Playmaking Badge', 'Badge Description': 'Improves ball security immediately after securing a rebound, catch, or picking up the ball', 'Badge Level': 'Silver'}, 'Amped': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Reduces the shooting attribute penalties when fatigued and when moving excessively prior to shooting', 'Badge Level': 'Bronze'}, 'Bully': {'Badge Category': 'Finishing Badge', 'Badge Description': 'Ability to finish strong by bulldozing through traffic', 'Badge Level': 'Bronze'}, 'Catch and Shoot': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Boosts the chance of hitting a jump shot immediately after a catch', 'Badge Level': 'Bronze'}, 'Corner Specialist': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Gives a boost to shots taken near the corner', 'Badge Level': 'Bronze'}, 'Green Machine': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Increases the bonus given for consecutive excellent releases', 'Badge Level': 'Bronze'}, 'Guard Up': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Increases the ability to make jump shots when defenders fail to properly contest', 'Badge Level': 'Bronze'}, 'Slippery Off Ball': {'Badge Category': 'Shooting Badge', 'Badge Description': ""Strengthens the player's ability to get the open off the ball"", 'Badge Level': 'Bronze'}, 'Work Horse': {'Badge Category': 'DEF/REB Badge', 'Badge Description': 'Boosts your ability to hustle down 50/50 balls and play hard-nosed defense without getting tired', 'Badge Level': 'Bronze'}}",201,"6'7"""
https://www.2kratings.com/aj-griffin,2023-02-17,Atlanta Hawks,AJ Griffin,78,['United States'],3-Level Scorer,['SF'],99,14,1,Duke,94,85,81,79,80,80,84,84,64,87,90,85,80,83,60,85,51,52,52,42,80,69,71,79,69,33,69,70,66,35,77,69,60,50,40,45,{},198,"6'6"""
https://www.2kratings.com/bogdan-bogdanovic,2023-02-17,Atlanta Hawks,Bogdan Bogdanovic,78,['Serbia'],3-Level Scorer,"['SG', 'SF']",101,13,9,Serbia,86,84,80,82,70,80,75,75,63,78,89,67,77,79,50,65,62,57,57,59,85,74,79,73,79,42,51,63,38,50,75,60,60,50,28,56,"{'Comeback Kid': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Improved ability to shoot perimeter jumpers when trailing in a game', 'Badge Level': 'Silver'}, 'Slippery Off Ball': {'Badge Category': 'Shooting Badge', 'Badge Description': ""Strengthens the player's ability to get the open off the ball"", 'Badge Level': 'Silver'}, 'Amped': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Reduces the shooting attribute penalties when fatigued and when moving excessively prior to shooting', 'Badge Level': 'Bronze'}, 'Blinders': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Becomes unfazed by defenders from the side', 'Badge Level': 'Bronze'}, 'Catch and Shoot': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Boosts the chance of hitting a jump shot immediately after a catch', 'Badge Level': 'Bronze'}, 'Claymore': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Increases a spot up shooter’s ability to knock down catch and shoot jumpers the longer they remain stationary prior to shooting', 'Badge Level': 'Bronze'}, 'Clutch Shooter': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Increases the ability to knock down shots in clutch moments', 'Badge Level': 'Bronze'}, 'Green Machine': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Increases the bonus given for consecutive excellent releases', 'Badge Level': 'Bronze'}, 'Middy Magician': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Improved ability to knock down mid-range jumpers off the bounce or out of the post', 'Badge Level': 'Bronze'}, 'Volume Shooter': {'Badge Category': 'Shooting Badge', 'Badge Description': 'Boosts shot percentages as shot attempts accrue throughout the game', 'Badge Level': 'Bronze'}}",198,"6'6"""
https://www.2kratings.com/bruno-fernando,2023-02-17,Atlanta Hawks,Bruno Fernando,75,['Angola'],Glass-Cleaning Finisher,['C'],107,20,4,Maryland,53,65,42,55,25,25,74,74,85,75,85,85,80,75,80,78,64,63,65,50,75,52,50,50,65,44,64,44,38,84,60,65,62,40,90,78,"{'Brick Wall': {'Badge Category': 'DEF/REB Badge', 'Badge Description': 'Increases effectiveness of screens and drains energy from opponents on physical contact', 'Badge Level': 'Bronze'}}",206,"6'9"""
