url,Name,Team,scrape_date,Overall Rating,Nationality,Archetype,Position,Height,Weight,Jersey,Years in NBA,Prior to NBA,Salary,Age,Draft Year,Draft Pick Number,Close Shot,Mid-Range Shot,Three-Point Shot,Free Throw,Shot IQ,Offensive Consistency,Speed,Acceleration,Strength,Vertical,Stamina,Hustle,Overall Durability,Layup,Standing Dunk,Driving Dunk,Post Hook,Post Fade,Post Control,Draw Foul,Hands,Pass Accuracy,Ball Handle,Speed with Ball,Pass IQ,Pass Vision,Interior Defense,Perimeter Defense,Steal,Block,Lateral Quickness,Help Defense IQ,Pass Perception,Defensive Consistency,Offensive Rebound,Defensive Rebound,Height (cm)
https://www.2kratings.com/trae-young,Trae Young,Atlanta Hawks,2023-04-20,89,United States,Offensive Threat,PG,"6'1""",74,11,5,Oklahoma,37096500,24,2018,5.0,91,80,84,89,90,98,84,84,50,78,95,75,86,90,25,30,28,60,34,96,80,80,93,84,94,89,31,55,43,32,70,58,70,30,37,43,185
https://www.2kratings.com/dejounte-murray,Dejounte Murray,Atlanta Hawks,2023-04-20,84,United States,2-Way Playshot,PG,"6'5""",81,5,7,Washington,16571120,26,2016,29.0,89,90,79,83,85,95,83,83,40,60,90,90,80,93,40,75,40,48,49,84,95,85,88,83,84,72,53,86,59,40,87,85,89,85,36,62,196
https://www.2kratings.com/clint-capela,Clint Capela,Atlanta Hawks,2023-04-20,83,Switzerland,Paint Beast,C,"6'10""",115,15,9,Switzerland,18206897,28,2014,25.0,80,50,25,58,70,60,58,57,85,80,92,97,83,79,95,80,71,48,69,74,70,34,48,30,35,29,86,53,40,78,60,86,74,85,93,90,208
https://www.2kratings.com/onyeka-okongwu,Onyeka Okongwu,Atlanta Hawks,2023-04-20,81,United States,2-Way Inside-the-Arc Scorer,C,"6'9""",108,17,3,USC Trojans,16571120,22,2020,6.0,91,89,60,75,70,75,74,74,70,75,88,95,83,80,85,80,54,55,57,52,80,51,54,60,50,31,79,64,42,84,69,83,65,65,83,83,206
https://www.2kratings.com/john-collins,John Collins,Atlanta Hawks,2023-04-20,80,United States,Inside the Arc Scorer,PF,"6'9""",102,20,6,Wake Forest,23500000,25,2017,19.0,93,91,65,83,60,60,71,65,75,85,92,85,84,82,90,93,77,75,83,52,85,37,60,50,66,30,74,49,37,71,57,74,38,60,43,77,206
https://www.2kratings.com/deandre-hunter,De’Andre Hunter,Atlanta Hawks,2023-04-20,80,United States,2-Way 3-Level Scorer,SF,"6'8""",99,12,4,Virginia,9835881,25,2019,4.0,91,94,79,82,70,85,76,78,65,75,90,80,80,74,65,70,51,52,51,65,90,67,70,69,64,31,63,83,35,42,85,80,60,80,36,56,203
https://www.2kratings.com/saddiq-bey,Saddiq Bey,Atlanta Hawks,2023-04-20,79,United States,Inside-Out Scorer,SF,"6'7""",97,41,3,Villanova,2959080,24,1824,19.0,78,65,80,86,90,85,63,63,69,70,87,90,81,80,45,60,43,42,52,84,84,64,76,57,75,34,64,75,46,40,79,77,72,70,46,60,201
https://www.2kratings.com/bogdan-bogdanovic,Bogdan Bogdanovic,Atlanta Hawks,2023-04-20,79,Serbia,3-Level Scorer,SG,"6'5""",101,13,9,Serbia,18000000,30,2014,27.0,94,80,84,82,70,90,75,75,63,78,89,67,77,79,50,65,62,57,57,59,85,74,79,73,79,52,51,63,42,51,75,60,60,50,32,52,196
https://www.2kratings.com/aj-griffin,AJ Griffin,Atlanta Hawks,2023-04-20,76,United States,3-Level Scorer,SF,"6'6""",99,14,1,Duke,3536160,19,2022,16.0,93,86,82,90,70,60,84,84,64,87,90,85,80,80,60,85,51,52,52,40,80,69,71,79,69,32,69,70,46,40,77,69,60,50,38,48,198
https://www.2kratings.com/jalen-johnson,Jalen Johnson,Atlanta Hawks,2023-04-20,76,United States,Inside the Arc Scorer,PF,"6'8""",99,1,2,Duke,2792640,21,2021,20.0,85,78,72,65,70,70,76,76,68,82,85,80,80,81,70,65,66,74,69,53,80,68,58,74,69,41,66,66,49,67,73,60,57,40,52,85,203
